,0
0,87
1,88
2,107
3,66
4,82
5,100
6,112
7,93
8,87
9,90
10,75
11,57
12,81
13,143
14,122
15,95
16,104
17,90
18,116
19,87
20,91
21,91
22,100
23,78
24,63
25,51
26,105
27,100
28,103
29,97
30,83
31,72
32,151
33,113
34,130
35,144
36,132
37,118
38,86
39,144
40,113
41,148
42,143
43,164
44,126
45,78
46,81
47,99
48,149
49,133
50,95
51,93
52,81
53,85
54,130
55,123
56,120
57,114
58,90
59,76
60,66
61,102
62,96
63,186
64,140
65,98
66,68
67,97
68,183
69,108
70,99
71,225
72,252
73,87
74,105
75,117
76,127
77,134
78,156
79,112
80,83
81,65
82,115
83,116
84,100
85,83
86,67
87,65
88,66
89,86
90,88
91,108
92,115
93,89
94,62
95,109
96,119
97,107
98,95
99,115
100,85
101,68
102,64
103,87
104,90
105,92
106,121
107,103
108,102
109,76
110,128
111,104
112,92
113,126
114,96
115,77
116,80
117,123
118,134
119,205
120,190
121,125
122,96
123,97
124,129
125,159
126,158
127,240
128,186
129,117
130,190
131,318
132,162
133,177
134,145
135,188
136,163
137,122
138,138
139,113
140,159
141,120
142,138
143,89
144,90
145,120
146,98
147,148
148,143
149,101
