,0
0,37
1,44
2,46
3,29
4,34
5,52
6,58
7,36
8,38
9,40
10,35
11,26
12,46
13,73
14,73
15,48
16,46
17,45
18,30
19,42
20,52
21,57
22,44
23,36
24,33
25,23
26,46
27,53
28,44
29,38
30,38
31,41
32,53
33,56
34,57
35,60
36,69
37,67
38,56
39,58
40,48
41,74
42,99
43,82
44,79
45,44
46,43
47,65
48,91
49,66
50,77
51,54
52,51
53,29
54,60
55,70
56,42
57,54
58,29
59,30
60,29
61,58
62,33
63,122
64,80
65,45
66,36
67,32
68,59
69,44
70,39
71,68
72,60
73,33
74,25
75,27
76,47
77,33
78,39
79,40
80,24
81,23
82,24
83,48
84,22
85,35
86,26
87,26
88,21
89,27
90,41
91,40
92,39
93,38
94,24
95,60
96,39
97,38
98,37
99,39
100,38
101,26
102,17
103,19
104,36
105,37
106,56
107,43
108,47
109,30
110,48
111,37
112,39
113,56
114,33
115,27
116,30
117,38
118,56
119,53
120,47
121,37
122,23
123,22
124,65
125,47
126,55
127,41
128,33
129,36
130,35
131,58
132,53
133,76
134,66
135,68
136,49
137,41
138,55
139,62
140,70
141,61
142,50
143,45
144,41
145,53
146,46
147,43
148,67
149,54
